trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-27.375193296552,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,0,-121.6486091950113,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.22313016014842982}",25,0,-92.05031984589137,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.1353352832366127}",25,13,-68.06749082933278,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,15,7.330338657673385,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,10,-50.08012301214601,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.0301973834223185}",20,0,-63.52563137886896,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.01831563888873418}",25,0,-62.516897460006625,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.011108996538242306}",20,0,4.380344892046062,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.006737946999085467}",20,0,-108.62962285014784,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.004086771438464067}",25,11,18.771297652215495,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.0024787521766663585}",30,10,-81.31014548079321,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.0015034391929775724}",30,11,-16.320415112820854,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.0009118819655545162}",25,0,-61.14769998268693,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.0005530843701478336}",20,15,9.174246152564809,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.00033546262790251185}",20,0,-15.347009720071673,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.00020346836901064417}",25,0,-167.07504013861902,"{0: 16, 1: 3, 2: 1, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.00012340980408667956}",25,0,-84.09739837867767,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 7.48518298877006e-05}",25,0,-24.040589835118233,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 4.5399929762484854e-05}",25,0,-70.84239773373388,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,13,-55.3921950714817,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,0,-30.032892694848666,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-2.7360604921457363,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-60.618147633764494,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,25.131521514715438,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,2.9348993001135026,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-15.328680740976578,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,7,4.533969593283784,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,20,9.605864164183377,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,4,-19.88194786210873,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
