trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 0.9950124791926823}",20,0,-123.9762853592495,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.005, 'e': 0.9900498337491681}",25,0,-66.49701280368821,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.005, 'e': 0.9851119396030626}",30,0,-123.98283286247019,"{0: 20, 1: 6, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 0.005, 'e': 0.9801986733067553}",20,0,-78.56161081401767,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.005, 'e': 0.9753099120283326}",30,0,-82.66945253502706,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.005, 'e': 0.9704455335485082}",25,0,-47.670249247167064,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.005, 'e': 0.9656054162575665}",20,2,-133.6905356504759,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 3}",1
8,False,"{'a': 0.005, 'e': 0.9607894391523232}",20,0,-45.95591930149306,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.005, 'e': 0.9559974818331}",30,0,-121.82651373687337,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.005, 'e': 0.951229424500714}",25,0,-132.12882348606902,"{0: 11, 1: 4, 2: 8, 3: 2, 4: 0}",0
11,False,"{'a': 0.005, 'e': 0.9464851479534838}",25,14,-51.85929170399844,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.005, 'e': 0.9417645335842487}",20,0,-120.79568350531122,"{0: 9, 1: 6, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.005, 'e': 0.9370674633774034}",20,0,-129.0840761973021,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.005, 'e': 0.9323938199059483}",25,0,-169.04143779735352,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.005, 'e': 0.9277434863285529}",35,0,-161.4279385400122,"{0: 21, 1: 1, 2: 10, 3: 2, 4: 1}",0
16,False,"{'a': 0.005, 'e': 0.9231163463866358}",20,14,3.432052347628253,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.005, 'e': 0.9185122844014574}",35,0,-280.8608449963963,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 5}",0
18,False,"{'a': 0.005, 'e': 0.9139311852712282}",20,0,-153.75289921969872,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.005, 'e': 0.9093729344682314}",20,4,-88.23728314471654,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
20,False,"{'a': 0.005, 'e': 0.9048374180359595}",25,0,-161.60681526285444,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
21,False,"{'a': 0.005, 'e': 0.9003245225862656}",20,0,-63.299779171867605,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
22,False,"{'a': 0.005, 'e': 0.8958341352965282}",20,8,-92.30452463154577,"{0: 6, 1: 0, 2: 4, 3: 1, 4: 1}",1
23,False,"{'a': 0.005, 'e': 0.8913661439068313}",30,0,-210.42880596168837,"{0: 15, 1: 6, 2: 4, 3: 2, 4: 3}",0
24,False,"{'a': 0.005, 'e': 0.8869204367171575}",20,0,-120.60981160909854,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
25,False,"{'a': 0.005, 'e': 0.8824969025845955}",20,0,-225.92882493039556,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
26,False,"{'a': 0.005, 'e': 0.8780954309205613}",30,0,-131.43328702061993,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
27,False,"{'a': 0.005, 'e': 0.8737159116880344}",20,0,-115.2125936660143,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
28,False,"{'a': 0.005, 'e': 0.8693582353988059}",25,0,-174.0554297365323,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
29,False,"{'a': 0.005, 'e': 0.8650222931107413}",20,0,-119.30080033997932,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
