trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.53747450900813,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-275.937624049863,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.37665628662553,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.57200569521882,"{0: 8, 1: 2, 2: 9, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.21808099297418,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.49508705981394,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-149.48849770087114,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.5242570101664,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,14,-126.4711821215796,"{0: 7, 1: 3, 2: 4, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.91747052040424,"{0: 11, 1: 7, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.76127781747738,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.24541913385416,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,8,-42.593992633548226,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.29062645305865,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,14,0.45715531384639707,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.444837321215964,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.50618901501775,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.92870768265179,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.50170473087995,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-50.04126934223965,"{0: 20, 1: 7, 2: 3, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-243.0821519980172,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-41.850127255797425,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-152.3760939053242,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-198.187921242127,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-140.9652131752343,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-207.25485204955876,"{0: 17, 1: 5, 2: 4, 3: 0, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-220.06693777799742,"{0: 8, 1: 1, 2: 6, 3: 2, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.14642891239309,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-242.00227690578416,"{0: 9, 1: 2, 2: 8, 3: 4, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-272.59516639316104,"{0: 20, 1: 1, 2: 7, 3: 3, 4: 4}",0
